Dates,Topic,Length,Cost,Outline,Category,Hover_Desc
"Aug 31- Sept 4, Oct 12-16, Dec 7-11",#20483: Programming in C#,5 days,"$2,795",classes/20483_Programming_C#.pdf,MICROSOFT TRAINING,This training course teaches developes the programming skills that are required for developers to create Windows applications using the C# language.
"Aug 3-7, Oct 26-30, Nov 30- Dec 4",#10961: Automating Administration with Windows PowerShell,5 days,"$2,795",classes/10961.pdf,MICROSOFT TRAINING,"Learn how with Windows PowerShell 4.0, you can remotely manage single or multiple Windows-based servers and automate day-to-day management and administration tasks."
"Jul 16-17, Sept 15-16, Nov 10-11",#10979: Microsoft Azure Fundamentals,2 days,"$1,294",classes/10979_Intro_Azure.pdf,MICROSOFT TRAINING,"Students learn basic cloud computing concepts, as well as key Microsoft Azure concepts and basic implmentation of Azure subscriptions, websites, virtual machines, storage, virtual networks, databases and Microsoft Azure Active Directory."
"Aug 24-28, Oct 19-23, Dec 14-18",AZ-100: Azure Administrator - Integration and Security,5 days,"$2,795",classes/Azure_IntegrationSecurity.pdf,MICROSOFT TRAINING,"In this course students for Azure Administrators they will learn how to manage the cloud services that span storage, networking and compute cloud capabilities with a deep understanding of each service across the full IT Lifecycle."
Call for Dates,#10972: Administering the Web Server (IIS) Role of Windows Server,5 days,"$2,795",classes/10972.pdf,MICROSOFT TRAINING,"This course provides students with the fundamental knowledge and skills to configure and manage Internet Information Services. This course is intended to help provide pre-requisite skills supporting a broad range of Internet web applications, security, and knowledge to help support other products that use IIS such as Exchange and SharePoint. In keeping with that goal, this course will not focus on any particular web application or development practice"
"Jul 6-9, Sept 14-17, Nov 10-13",AZ-101: Azure Security,4 days,"$2,235",classes/10982.pdf,MICROSOFT TRAINING,In this course students will learn the integration and security functions of the Azure Administrator job role.
"Aug 31- Sept 4, Oct 26-30, Nov 16-20",Updating Your Skills to SQL Server 2016,3 days,"$1,690",classes/10986A.pdf,MICROSOFT TRAINING,This three-day instructor-led course provides students moving from earlier releases of SQL Server with an introduction to the new features in SQL Server 2016.
Call for Dates,#10987: Performance Tuning and Optimizing SQL Databases,4 days,"$2,235",classes/10987.pdf,MICROSOFT TRAINING,This four-day instructor-led course provides students who manage and maintain SQL Server databases with the knowledge and skills to performance tune and optimize their databases.
Call for Dates,#10990: Analyzing Data with SQL Server Reporting Services,3 days,"$1,690",classes/10990.pdf,MICROSOFT TRAINING,This course teaches students how to implement a SQL Server 2016 Reporting Services solution for data analysis in an organization. The course discusses how to use the Reporting Services development tools to create and manage reports and implement self-service BI solutions.
Call for Dates,#20331: Core Solutions of Microsoft SharePoint Server 2013,5 days,"$2,795",classes/20331.pdf,MICROSOFT TRAINING,"This course will provide you with the knowledge and skills to configure and manage a Microsoft SharePoint Server 2013 environment. This course will teach you how to configure SharePoint Server 2013, as well as provide guidelines, best practices, and considerations that will help you optimize your SharePoint server deployment. This is the first in a sequence of two courses for IT Professionals and will align with the first exam in the SharePoint Server 2013 IT Pro certification."
Call for Dates,#20332: Advanced Solutions of Microsoft SharePoint Server 2013,5 days,"$2,795",classes/20332.pdf,MICROSOFT TRAINING,"This five-day course examines how to plan, configure, and manage a Microsoft SharePoint Server 2013 environment. Special areas of focus include implementing high availability, disaster recovery, service application architecture, Business Connectivity Services, social computing features, productivity and collaboration platforms and features, business intelligence solutions, enterprise content management, web content management infrastructure, solutions, and apps. The course also examines how to optimize the Search experience, how to develop and implement a governance plan; and finally, how to perform an upgrade or migration to SharePoint Server 2013."
Call for Dates,#20341: Core Solutions of Microsoft Exchange Server 2013,5 days,"$2,795",classes/20341B.pdf,MICROSOFT TRAINING,"This course will provide you with the knowledge and skills to plan, deploy, manage, secure, and support Microsoft Exchange Server 2013. This course will teach you how to configure Exchange Server 2013 and supply you with the information you will need to monitor, maintain, and troubleshoot Exchange Server 2013. This course will also provide guidelines, best practices, and considerations that will help you optimize performance and minimize errors and security threats in Exchange Server 2013."
Call for Dates,#20342: Advanced Solutions of Microsoft Exchange Server 2013,5 days,"$2,795",classes/20342.pdf,MICROSOFT TRAINING,"This course will provide you with the knowledge and skills to configure and manage a Microsoft Exchange Server 2013 messaging environment. This course will teach you how to configure Exchange Server 2013, and it will provide guidelines, best practices, and considerations that will help you optimize your Exchange Server deployment."
"Jul 6-10, Sept 21-25, Nov 9-13",#20345-1: Administering Microsoft Exchange Server 2016,5 days,"$2,795",classes/20345.pdf,MICROSOFT TRAINING,"This 5-day instructor-led course teaches IT professionals how to administer and support Exchange Server 2016. Students will learn how to install Exchange Server 2016, and how to configure and manage an Exchange Server environment. The course covers how to manage mail recipients and public folders, including how to perform bulk operations using Exchange Management Shell. Students also will learn how to manage client connectivity, message transport and hygiene, how to implement and manage highly available Exchange Server deployments, and how to implement back up and disaster recovery solutions. The course also teaches students how to maintain and monitor an Exchange Server 2016 deployment. In addition, students will learn how to administer Exchange Online in an Office 365 deployment."
"Aug 10-14, Oct 5-9, Dec 7-11",#20345-2: Designing and Deploying Microsoft Exchange Server 2016,5 days,"$2,795",classes/203452.pdf,MICROSOFT TRAINING,"This course provides experienced Exchange Server administrators with the knowledge to design and implement an Exchange Server 2016 messaging environment. Students will learn how to design and configure advanced components in an Exchange Server 2016 deployment such as site resiliency, advanced security, compliance, archiving, and discovery solutions. In addition, students will learn about coexistence with other Exchange organizations or Exchange Online, and migration from previous versions of Exchange Server. The course will provide guidelines, best practices, and considerations that will help students optimize their Exchange Server deployment."
Call for Dates,#20410: Installing and Configuring Windows Server 2012,5 days,"$2,795",classes/20410.pdf,MICROSOFT TRAINING,"Get hands-on instruction and practice installing and configuring Windows Server 2012, including Windows Server 2012 R2, in this five-day Microsoft Official Course. This course is part one in a series of three courses that provides the skills and knowledge necessary to implement a core Windows Server 2012 infrastructure in an existing enterprise environment."
Call for Dates,#20412: Configuring Advanced Windows Server 2012 Services,5 days,"$2,795",classes/20412.pdf,MICROSOFT TRAINING,"Get hands-on instruction and practice configuring advanced Windows Server 2012, including Windows Server 2012 R2, services in this five-day Microsoft Official Course. This course is part three in a series of three courses that provides the skills and knowledge necessary to implement a core Windows Server 2012 infrastructure in an existing enterprise environment."
"Jul 13-17, Sept 21-25, Nov 30- Dec 4",#20761: Querying Data with Transact SQL,5 days,"$2,795",classes/20761_Querying_Data_Transact_SQL.pdf,MICROSOFT TRAINING,"The purpose of this course is to give students a good understanding of the Trasact-SQL language which is used by all SQL server-related disciplines; namely Database Administration, Database Development and Business Intelligence."
"Jul 20-24, Sept 28- Oct 2, Dec 7-11",#20762: Developing SQL Server 2016 Databases,5 days,"$2,795",classes/20762.pdf,MICROSOFT TRAINING,This course provides students with the knowledge and skills to develop Microsoft SQL Server 2016 databases. The course focuses on teaching individuals how to use SQL Server 2016 product features and tools related to developing a database.
Call for Availability,#20765: Administering a SQL Database Infrastructure,5 days,"$2,795",classes/20764_Admin_SQL_Database_Infrastructure.pdf,MICROSOFT TRAINING,This course provides students who administer and maintain SQL Server databases with the knowledge and skills to administer a SQL Server database infrastructure. Additionally it will of use to individuals who develop applications that deliver content from SQL Server databases.
Call for Dates,#20697: Implementing and Managing Windows 10,5 days,"$2,795",classes/20697.pdf,MICROSOFT TRAINING,"This course provides students with the knowledge and skills required to install and configure Windows 10 desktops and devices in a corporate Windows Server domain environment. The skills that this course details include learning how to install and customize Windows 10 operating systems and apps, and configure local and remote network connectivity and storage. Students also will learn how to configure security for data, devices, and networks, and maintain, update, and recover Windows 10."
Call for Dates,#55028: SharePoint 2013 Power User,2 days,"$1,295",classes/55028.pdf,MICROSOFT TRAINING,This SharePoint 2013 Power User training class is designed for individuals who need to learn the fundamentals of managing SharePoint sites.
Call for Dates,#55031: SharePoint 2013 End User,3 days,"$1,690",classes/55031.pdf,MICROSOFT TRAINING,This SharePoint 2013 End User class is for end users working in a SharePoint 2013 environment. The course teaches SharePoint basics such as working with lists and libraries as well as basic page customizations.
"Jul 13-17, Aug 31- Sept 4, Nov 16-20",#10962: Advanced Automated Administration with Windows PowerShell,5 days,"$2,795",classes/.pdf,MICROSOFT TRAINING,This course is built on Windows Server 2012 R2 and Windows 8.1 and while it is specifically focused on PowerShell v4.0 it is also relevant in v2.0 and v3.0 Windows PowerShell environments.
Call for Dates,#55069: PowerShell for SQL Server Administrators,2 days,"$1,295",classes/55069.pdf,MICROSOFT TRAINING,"This two-day instructor-led course provides candidates with the knowledge and skills needed to use PowerShell for SQL Server administration. Students will learn how to manage day-to-day and scheduled maintenance tasks. The main focus will be administration of the database engine, but material & exercises on Analysis Services (SSAS) and Integration Services (SSIS) are also included."
Call for Dates,20411: Administering Windows Server 2012,5 days,"$2,795",classes/20411.pdf,MICROSOFT TRAINING,"Get hands-on instruction and practice administering Windows Server 2012, including Windows Server 2012 R2, in this five-day Microsoft Official Course. This course is part two in a series of three courses that provides the skills and knowledge necessary to implement a core Windows Server 2012 infrastructure in an existing enterprise environment."
"Aug 25-27, Oct 5-7, Dec 14-16",#10997: Office 365 Administration,3 days,"$1,690",classes/10997_Office365Administration.pdf,MICROSOFT TRAINING,"This course focuses on skills required to administer and troubleshoot Office 365 tenant and key services of Office 365 such as Exchange online, SharePoint online and Skype for Business. It also covers security and compliance features for Office 365."
"Jul 27-31, Sept 21-25, Nov 30- Dec 4",#20347: Enabling and Managing Office 365,5 days,"$2,795",classes/20347_Enabling_Managing_Office365.pdf,MICROSOFT TRAINING,"This course targets the needs of IT professionals who take part in evaluating, planning, deploying, and operating Office 365 services, including its identities, dependencies, requirements and supporting technologies."
"Jul 27-31, Sept 14-18, Nov 2-6",CompTIA A+ Certification (901 Exam Series),5 days,"$2,795",classes/CompTIA_A_900ExamSeries.pdf,CompTIA CLASSES,"In this course students will acquire basic skills related to infrastructure support, data backup, recovery, storage and management. Baseline security for IT support professionals. Configuring device operating systems and PC, mobile, and IoT device hardware. Prepares stduents to take the CompTIA A+ exams (220-901 and 220-902 or 220-1001 and 220-1002)."
"Jul 6-10, Sept 20-25, Nov 9-13",CompTIA Network+,5 days,"$2,795",classes/CompTIA_Network_N10_007.pdf,CompTIA CLASSES,"This course includes instruction in network operating system basics, network topologies and strategies, the OSI Model, data transmission, network, trasnport and session layers, TCP/IP fundamentals, IP addressing, network security and network installation, maintenance and troubleshooting. Also helps students to prepare for the CompTIA N10-007 exam and certification."
Request Dates,ACT!: Level 1,1 day,$399,classes/ACT.pdf,MISCELLANEOUS APPS,"This ILT Series course, rated 4.9/5.0 in overall quality by ProCert Labs, teaches the basic features and functions of ACT! 2007. Students will learn how to create and edit records for contacts, companies, and groups. They will also learn how to perform lookups to locate records that meet specified criteria. Students will use the calendar to schedule activities, and they will work with letter-writing, e-mail, and printing features to correspond with contacts. Finally, students will attach Web pages to contact records and use the Web to generate maps and driving directions. Comes with CertBlaster pre- and post-assessment software (download)."
Request Dates,ACT!: Level 2,1 day,$399,classes/ACT2.pdf,MISCELLANEOUS APPS,"This ILT Series course, rated 4.9/5.0 in overall quality by ProCert Labs, builds on the concepts and skills taught in ACT! 2007: Basic. Students will perform advanced lookups and queries, work with document and e-mail templates, and perform mail merges. They will also learn advanced document and file management techniques, and they will use the Task List to create and customize activities and resources. Finally, students will learn about calendar access settings, and they will create opportunities, write quotes, and work with product lists. Comes with CertBlaster pre- and post-assessment software (download)."
Call for Dates,Access 2010: Level 1,1 day,$199,classes/ACCESS 2010.pdf,MICROSOFT TRAINING,"This course covers the basic functions and features of Access 2010. After an introduction to database concepts and the Access environment and Help systems, students will learn how to design and create databases. Then they will work with tables, fields, and records; sort and filter data; and set field properties and data entry rules. Students will then learn to create queries, forms, and reports."
Call for Dates,Access 2010: Level 2,1 day,$199,classes/ACCESS 20102.pdf,MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access 2010: Basic. Students will learn how to normalize data, manage table relationships, and enforce referential integrity; work with Lookup fields and subdatasheets; create join queries, calculated fields, and summary values; add objects to forms and create advanced form types; print reports and labels; create and modify charts; and use PivotTables and PivotCharts."
Call for Dates,Access 2010: Level 3,1 day,$199,classes/ACCESS 20103.pdf,MICROSOFT TRAINING,"This ILT Series course builds on the skills and concepts taught in Access 2010: Intermediate. Students will learn how to query with SQL; create crosstab, parameter, and action queries; create macros; import, export, and link database objects; interact with XML documents; create hyperlink fields; optimize, split, and back up databases; passwordprotect and encrypt databases; and set Access options and properties."
Call for Dates,Access 2013: Forms and Reports in Depth,3 Hours,$125,classes/ACCESS 2013a.pdf,MICROSOFT TRAINING,"Make the information in your Access database more transparent and easier to navigate with forms and reports. This course demonstrates how you can use forms and reports to control and organize the display of your data, as well as gather parameters for queries. The course dives into reports: creating efficient and readable layouts, grouping data into categories, tying reports to queries, and using conditional formatting rules to highlight key takeaways from the data."
"Jul 14, Aug 10, Sept 3, Oct 14, Nov 5, Dec 1",Access 2013: Level 1,1 day,$199,classes/ACCESS 2013.pdf,MICROSOFT TRAINING,"This course covers the basic functions and features of Access. After an introduction to database concepts and the Access environment and Help systems, students will learn how to design and create databases. Then they will work with tables, fields, and records; sort and filter data; and set field properties and data entry rules. Students will then learn to create queries, forms, and reports."
"Jul 21, Aug 17, Sept 10, Oct 21, Nov 12, Dec 8",Access 2013: Level 2,1 day,$199,classes/ACCESS 20132.pdf,MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access: Level 1. Students will learn how to normalize data, manage table relationships, and enforce referential integrity; work with Lookup fields and subdatasheets; create join queries, calculated fields, and summary values; add objects to forms and create advanced form types; print reports and labels; as well as create and modify charts."
"Jul 28 Aug 24, Sept 17, Oct 28, Nov 19, Dec 15",Access 2013: Level 3,1 day,$199,classes/ACCESS 20133.pdf,MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access: Intermediate. Students will learn how to query with SQL; create crosstab, parameter, and action queries; create macros; import, export, and link database objects; interact with XML documents; create hyperlink fields; optimize, split, and back up databases; password-protect and encrypt databases; and set Access options and properties."
"Jul 14, Aug 10, Sept 3, Oct 14, Nov 5, Dec 1",Access 2016/2019: Level 1,1 day,$199,classes/Access_Level1.pdf,MICROSOFT TRAINING,"This course covers the basic functions and features of Access. After an introduction to database concepts and the Access environment and Help systems, students will learn how to design and create databases. Then they will work with tables, fields, and records; sort and filter data; and set field properties and data entry rules. Students will then learn to create queries, forms, and reports."
"Jul 21, Aug 17, Sept 10, Oct 21, Nov 12, Dec 8",Access 2016/2019: Level 2,1 day,$199,classes/Access_Level2.pdf,MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access: Level 1. Students will learn how to normalize data, manage table relationships, and enforce referential integrity; work with Lookup fields and subdatasheets; create join queries, calculated fields, and summary values; add objects to forms and create advanced form types; print reports and labels; as well as create and modify charts."
"Jul 28 Aug 24, Sept 17, Oct 28, Nov 19, Dec 15",Access 2016/2019: Level 3,1 day,$199,classes/Access_Level3.pdf,MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access: Intermediate. Students will learn how to query with SQL; create crosstab, parameter, and action queries; create macros; import, export, and link database objects; interact with XML documents; create hyperlink fields; optimize, split, and back up databases; password-protect and encrypt databases; and set Access options and properties."
Call for Dates,Access 2013: Queries in Depth,3 Hours,$125,classes/ACCESS 2013q.pdf,MICROSOFT TRAINING,"Get more out of your Access database than just the data you put into it, using queries—tools that help you translate complex raw data into information you can use to make better decisions. Learn how to create real-world queries to filter and sort data, perform calculations, and refine query results with built-in functions, all while offering challenges that help you master the material. Find out how to identify top performers, automate repetitive analysis tasks, and increase accuracy and consistency in your database using program flow functions."
Call for Dates,Access 2019: Level 1,1 day,$199,classes/Access_Level1.pdf,MICROSOFT TRAINING,"This course covers the basic functions and features of Access. After an introduction to database concepts and the Access environment and Help systems, students will learn how to design and create databases. Then they will work with tables, fields, and records; sort and filter data; and set field properties and data entry rules. Students will then learn to create queries, forms, and reports."
Call for Dates,Access 2019: Level 2,1 day,$199,"classes/Access_Level2""",MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access: Level 1. Students will learn how to normalize data, manage table relationships, and enforce referential integrity; work with Lookup fields and subdatasheets; create join queries, calculated fields, and summary values; add objects to forms and create advanced form types; print reports and labels; as well as create and modify charts."
Call for Dates,Access 2019: Level 3,1 day,$199,classes/Access_Level3.pdf,MICROSOFT TRAINING,"This course builds on the skills and concepts taught in Access: Intermediate. Students will learn how to query with SQL; create crosstab, parameter, and action queries; create macros; import, export, and link database objects; interact with XML documents; create hyperlink fields; optimize, split, and back up databases; password-protect and encrypt databases; and set Access options and properties."
"Jul 20-22, Aug 24-26, Sept 28-30, Oct 26-28, Nov 17-19, Dec 21-23",Access VBA: 2013,3 days,"$1,295",classes/ACCESS VBA.pdf,MICROSOFT TRAINING,View Outline
"Jul 10, Aug 14, Sept 18, Oct 1, Nov 11, Dec 4",Adobe Acrobat XI Pro: Level 1,1 day,$399,classes/ADOBE ACROBAT XI PRO.pdf,ADOBE CLASSES,"This course will teach students fundamental concepts and terminology, and the basic features of Adobe Acrobat XI Pro. Students will learn PDF basics and explore the Acrobat interface. They'll learn how to navigate and organize PDF documents. Students will learn how to create a PDF document from within Acrobat. They will also create PDF documents from within other applications, and create documents from Web pages. Students will learn to modify PDF content by rearranging, editing, and formatting existing text; and by adding headers, footers, watermarks, and backgrounds. They'll learn how to insert multimedia content, including audio, video, and flash files. They'll add bookmarks and links, and improve accessibility in a document. Students will learn to manage security issues by using password encryption and digital signatures. They'll explore document review techniques, including the use of comments, markups, and automated reviews, such as Page View Sharing and Collaborate Live."
"Jul 17, Aug 21, Sept 25, Oct 8, Nov 18, Dec 11",Adobe Acrobat XI Pro: Level 2,1 day,$399,classes/ADOBE ACROBAT XI PRO2.pdf,ADOBE CLASSES,"This course builds on the fundamentals taught in Acrobat XI Pro: Basic. Students will learn how to produce high-quality PDF documents for press. They will learn how to discover geospatial data in a PDF map. They will learn prepress techniques including color management, proofing and converting colors, color separations, managing inks, trapping, and transparency flattening. Students will use the Preflight feature to test and convert a document to comply with print provider requirements or ISO 9000 standards such as PDF/X, PDF/A, or PDF/E. Students will learn to create interactive forms using both the Form Editor as well as LiveCycle Designer ES2. They will learn to distribute PDF documents and forms, and to compile form data returned from users."
Request Dates,Adobe eLearning Suite,5 days,Call for pricing,classes/ADOBE ELEARNING SUITE.pdf,ADOBE CLASSES,"This training course will give students a solid foundation in Captivate, Flash and the other eLearning Suite tools. After completing the week-long eLearning course, students will have the knowledge and hands-on practice they need to create sophisticated eLearning content. The goal is to provide a solid foundation in the key content development applications - Captivate and Flash - while providing critical workflow examples using Photoshop, Acrobat, Dreamweaver, SoundBooth and Presenter."
Request Dates,Advanced JavaScript Programming,1 day,Call for Pricing,classes/ADVANCED JAVASCRIPT PROGRAMMING.pdf,MICROSOFT TRAINING,View Outline
Request Dates,Appraising Performance,1 day,$399,classes/APPRAISING PERFORMANCE.pdf,STRATEGIC CORPORATE TRAINING,-Establish performance expectations so that desired work results are achieved in accordance with the organization's values and quality standards. -Write a performance appraisal so that it reflects an objective evaluation of the individual's work performance. -Prepare for a performance appraisal discussion so that there are no barriers for an effective discussion. -Conduct a performance appraisal so that mutual understanding and cooperation is achieved and a realistic development plan to improve future performance is prepared. -Follow up on a performance appraisal so that future performance meets expectations.
"Jul 27-29, Sept 1-3, Nov 30- Dec 2",Articulate Storyline,3 days,"$1,275",classes/ARTICULATE STORYLINE.pdf,MISCELLANEOUS APPS,"In this course, the participants will learn the following: •	Understand the Storyline workflow process and storyboarding. •	Understand Scenes and Slides. •	Use the Timeline feature to change object timing. •	Understand Layers. •	Publish your project to HTML5 and SWF files. •	Add narration by recording or importing audio. •	Increase user interactivity with click, highlight, and text entry boxes. •	Add interest by inserting rollovers. •	Insert question and scoring slides. •	Create interest by branching to different Slides and Scenes. •	Import PowerPoint slides into a project. •	Creating hyperlinks to websites and to another project."
Call for Dates,Branding with Microsoft Office,3 Hours,$125,classes/BRANDING WITH MICROSOFT OFFICE.pdf,MICROSOFT TRAINING,"Office 2013 themes make branding easy, and templates help Office users to implement your themes. This course shows how to create effective themes that can be distributed and used in every Office app. Start by creating a theme in PowerPoint: choosing your color palette, fonts, and effects. Then see how to apply the theme to a PowerPoint template and lock down the slide layout. Learn how to access your theme from Word and Excel templates, and distribute the templates to others."
"Jul 9, Aug 28, Nov 30",Building Project Teams,1 day,$650,classes/BUILDING PROJECT TEAMS.pdf,PROJECT MANAGEMENT PROGRAMS,"This course teaches students about different types of projects and project teams. Students will learn how to resolve conflicts, reach consensus among team members, identify personal responsibilities and communication skills needed from team members, and improve team communication. Course activities also cover expressing yourself assertively, identifying team roles, and explaining how to avoid common pitfalls in project team meetings. Students will also learn how to establish and improve project teams, set team goals, motivate teams, and manage a team during times of change."
"Aug 27, Oct 6, Dec 29",Business Analysis OverView,1 day,$650,classes/BUSINESS ANALYSIS OVERVIEW.pdf,BUSINESS ANALYSIS CLASSES,"This one-day workshop aims to provide a realistic and interactive overview of what business analysis is, and what a business analyst does in the framework of defining system solutions. This workshop will use a case study approach to allow participants to perform a current state analysis to identify the ""as is"" situation, interview users to elicit requirements about the ""future state"", and write requirements for the solution. In order to perform these exercises, the workshop will cover such topics as procedure analysis and activity (swim lane) diagrams, interviewing techniques, and the attributes of quality requirements."
Request Dates,Business Writing,1 day,$399,classes/BUSINESS WRITING.pdf,STRATEGIC CORPORATE TRAINING,"This course teaches students how to write in a business environment. After a review of basic writing skills, students will learn how to write business letters and reports, as well as several types of proposals."
Call for Dates,CTT+ Train the Trainer,3 days,"$1,650",classes/CTT.pdf,CompTIA CLASSES,"Earning the CTT+ certification designates you as an exceptional trainer in your field. As an instructor, you not only have to plan engaging classroom lectures, practice tasks and exams, but you must also be a knowledgeable and effective communicator. CTT+ certification provides comprehensive training standards to validate your skills in a traditional or virtual classroom environment, and ensures that you can teach effectively and step up to the front of the class with confidence."
Request Dates,Camtasia Studio 7: The Essentials,1 day,$399,classes/CAMTASIA STUDIO 7.pdf,DESKTOP AND OFFICE APPS,"Using Camtasia Studio 7, you can quickly create visual demonstrations of just about anything (computer software or soft skills training) and post your completed lessons on the Web or burn them to a CD. Your lessons can include videos of actions taken on your computer, animation, audio, quizzes and surveys."
"Jul 29, Aug 31, Sept 24, Oct 28, Nov 24, Dec 29",Captivate,1 day,$399,classes/CAPTIVATE.pdf,ADOBE CLASSES,"Adobe Captivate 5.0 is a tool that automates the creation of software training materials and transforms your on-screen actions and usage tips into a software simulation from which others can learn. In this course, you will use Adobe Captivate 5.0 to develop demonstrations and interactive simulations of software applications."
"Aug 10-12, Sept 14-16, Nov 23-25",Cloud Essentials Certification,3 days,"$1,650",classes/CLOUD ESSENTIALS CERTIFICATION.pdf,CompTIA CLASSES,"The CompTIA Cloud Essentials certification focuses on the real-world issues and practical solutions of cloud computing in business and IT. It’s the preferred cloud certification for business professionals and non-IT staff. While it isn’t a technical-heavy certification, its coverage of cloud computing principles is anything but superficial."
Request Dates,CompTIA CDIA+ Certification,2 days,"$1,275",classes/COMPTIA CDIA.pdf,CompTIA CLASSES,"This course will prepare students for the CompTIA CDIA+ certification exam. It introduces students to the major disciplines and technologies that are used to plan, design, and implement an imaging system. Students will work through the process of a typical project plan that includes project kickoff, strategy, analysis, justification and approval, solution identification, design, conversion, prototype, implementation, and training and documentation. Course manual comes with MeasureUp exam prep software."
Call for Dates,CompTIA Mobility+,5 days,"$2,795",classes/COMPTIA MOBILITY.pdf,CompTIA CLASSES,"The mobile age is upon us. More and more people are using tablets, smartphones, and other mobile devices to accomplish things in their personal and professional lives. As businesses embrace this trend, they need to support their employees in the use of mobile devices while protecting their own assets, such as intellectual property. If you are already a traditional network support technician, you're well on the way to having the knowledge and skills needed to support the mobile workforce. This course builds on your existing knowledge and experience to provide you with critical concepts related to over-the-air technologies, wireless networking, and mobile devices."
Request Dates,CompTIA PDI+ Certification,3 days,"$1,690",classes/COMPTIA PDI.pdf,CompTIA CLASSES,"This course validates the knowledge and skills necessary to support printing and document imaging devices including printers, copiers, scanners, multi-functional devices and fax machines. This vendor-neutral certification recognizes a technician's understanding of basic electromechanical components and tools, print engine and scan processes and components, color theory and connectivity/networking. It also covers business skills such as customer service, professionalism, safety and environment. In addition, CompTIA PDI+ is relevant to seasoned technicians in the printing and document imaging industry interested in an industry-accepted credential that validates their knowledge and skills."
Request Dates,CompTIA RFID+ Certification,3 days,"$1,690",classes/COMPTIA RFID.pdf,CompTIA CLASSES,"This course prepares students for the current CompTIA RFID+ certification exam. Students will learn how to set up and manage RFID systems to track inventory, goods, vehicles, and even people. They will also learn about the physics and radio principles that enable RFID solutions. Comes with MeasureUp exam prep software."
